Global Step,Train Loss
36821,0.0044
36822,0.0046
36823,0.0043
36824,0.0046
36825,0.0041
36826,0.0041
36827,0.0042
36828,0.0049
36829,0.0045
36830,0.0040
36831,0.0043
36832,0.0040
36833,0.0042
36834,0.0038
36835,0.0039
36836,0.0045
36837,0.0041
36838,0.0040
36839,0.0044
36840,0.0041
36841,0.0041
36842,0.0038
36843,0.0039
36844,0.0042
36845,0.0041
36846,0.0045
36847,0.0041
36848,0.0043
36849,0.0043
36850,0.0035
36851,0.0040
36852,0.0040
36853,0.0040
36854,0.0042
36855,0.0043
36856,0.0041
36857,0.0040
36858,0.0039
36859,0.0043
36860,0.0043
36861,0.0040
36862,0.0042
36863,0.0042
36864,0.0039
36865,0.0039
36866,0.0038
36867,0.0042
36868,0.0048
36869,0.0044
36870,0.0046
36871,0.0038
36872,0.0038
36873,0.0039
36874,0.0039
36875,0.0041
36876,0.0038
36877,0.0040
36878,0.0037
36879,0.0043
36880,0.0040
36881,0.0039
36882,0.0040
36883,0.0041
36884,0.0038
36885,0.0036
36886,0.0038
36887,0.0040
36888,0.0043
36889,0.0042
36890,0.0038
